id_resto,amount_pictures,average_price,features,description
424,35,"$ (less than $20), $$ ($20 to $30)",,"Rustique is a classic country pie stand... in the city.
We specialize in handcrafted desserts made simply, by hand, using real butter, flour, sugar and the finest local and regional seasonal produce.show more"
425,21,$$$$ (over $45),,"In creating Toqué!, more than twenty years ago, we wanted to showcase the Quebec products and the work of those who supply us. We want more than ever to acknowledge the contribution of these suppliers who deserve the glorious title of artisans. We owe them the foie gras or samphire; lamb or vegetables, seafood or herbs. These tireless artisans inspire the cuisine of Toqué! to which they bring the flavors, textures and natural aromas of irreproachable freshness. We are members of Relais & Châteaux and Grandes Tables du Monde.show more"
426,17,"$ (less than $20), $$ ($20 to $30)",,"With our new wood-burning oven imported directly from Italy, the Corneli restaurant is now a must! Our wood-burning oven offers a unique charm with its attractive flame in the background. The Corneli family added a powerful asset to attract gourmets, pizza connoisseurs and traditionalists!
Since 1960, we welcome you with open arms to share a good meal with the flavors of Italy with family, friends or for a romantic rendez-vous. Our table will satisfy the most discerning palates.
Come and experience our authentic pizza at our new location in Laval!show more"
427,35,"$ (less than $20), $$ ($20 to $30)",,"At La Piazzetta, we want to offer our customers different great value products and services in order to make them live out of common experiences and gain their respect and loyalty. For this purpose, we do our very best to put forward a delicious first quality original food and beverage offer, meaning we thrive to innovate constantly.  We create stimulating areas where it is pleasant to be, for our customers, which are considered as guests and also our staff, for their well-being. We look forward to offer our clientèle an almost full range of complementary products.   We consider catering as a great and noble trade and we work with competent and passionate people. We constantly invest in our staff well-being and compentency so they can relate it to our clientèle by offering them a caring and professional service that sets apart from competition.show more"
428,9,"$$ ($20 to $30), $$$ ($30 to $45)",,"Steak Frites offers quality prepared dishes: distinctive cuts of meat that are tender and juicy, enhanced through our know-how to reveal all of their flavour.  In an unpretentious atmosphere, we provide a generous gourmet menu for you to enjoy alone, as a couple, or with family and friends.show more"
429,35,"$ (less than $20), $$ ($20 to $30)",,"The distinctive setting and unique atmosphere make Beroya a destination that is exotic as well as culinary. Beroya offers Syrian cuisine born from the Middle East’s different cultural influences, a cuisine based on a long and rich history.show more"
430,40,$ (less than $20),,"🍃CHAÏ Tea Lounge🍃
Chaï tea lounge offers a wide selection of teas, white, black, oolong, pu'erh, rooibos, mate and herbal teas. Tea-based beverages such as the popular bubble tea, smoothies, kombucha, coffee, etc. It also offers you a selection of fine pastries, gluten-free vegan options and healthy meals.show more"
431,24,$$ ($20 to $30),,"It all started in 2009 when they met at a restaurant on Laurier Street. Their common passions quickly brought them together and united them at work as well as in a beautiful friendship. With 22 years of experience, Louis is a veteran in restauration. At the time, he quickly saw Felix's potential in the field. With his curiosity, skills and ambition Felix probably reminded him of himself that age. Inseparable since then, their passion for good food and good wine led them to create a restaurant that reflects their image. A dream come true: Chez BOSS & fils.show more"
432,44,$$ ($20 to $30),,"Open for over 39 years, La Maison Grecque on Duluth street in Montreal will seduce you with its warm decor, music atmosphere and authentic Greek cuisine. Whether on the terrace in summer or by the fireplace in winter, enjoy Greek cuisine in a unique way. Always proud to welcome you for over 39 years, Peter, the owner, well appreciated by many, will immediately make you feel at home. A gem of a restaurant to discover.show more"
433,13,"$ (less than $20), $$ ($20 to $30)",,"Saint-Houblon gastro pubs are the ultimate locations to enjoy quality craft beer and a wide selection of refined dishes at affordable prices, all in a warm and relaxed atmosphere. Focusing on local, seasonal products our menu and alcohol list complement each other perfectly letting you discover the wealth of regional Quebecois products, all at accessible prices.  To discover: - Our 24 craft beers on tap. - Our 100% Quebecois wine list. - Our tasty dishes, sought after and accessible. - Our decadent brunch menu. - Our original and diverse cocktails.show more"
434,13,$$ ($20 to $30),,"Our friendly French-inspired bistro is located in the heart of downtown Boucherville. Offering a friendly and family atmosphere as well as a large sunny terrace, we are proud to serve you quality dishes prepared by a passionate team since 2006. Mussels and fries are the specialty of our restaurant.show more"
435,20,$$$ ($30 to $45),,"Auberge Saint-Gabriel, North America's first inn and the country's first legal drinking establishment, was once home to the print shop that published the newspaper Le Patriote, and was even a fur-trading post before it became a highlight of Quebec's fine dining scene and a one of Montréal's hottest night spots. For 300 years, the Auberge has been a maker of memorable evenings, from cocktails on the patio and drinks at its intimate bars to meals in the opulent dining room and private events in its stunning halls.  Acquired in 1987 by the Bolay family, Auberge Saint-Gabriel has earned a sterling reputation. Its new owners, Marc Bolay, Garou and Guy Laliberté, turned it into a masterpiece, transforming this reminder of the past into a decidedly modern venue with playful nods to history. The Auberge was redesigned by Bruno Braën (Rufus Rockhead, Club Chasse et Pêche, Big in Japan), who had fun with the iconography associated with Quebec's history, honouring its heritage while remaining lighthearted. Brilliant!  Born in Sweden, Ola Claesson starts his culinary career at a very young age. Born into a family of chef, his first love is cuisine, which he discovers through the exploration of flavors and rich traditions.  Ola leaves Sweden in 2005. After traveling the world to discover new flavors, he settles in Paris and works at world-renowned, Michelin-starred restaurants like Meurice and Le Pré Catelan. It is only during his time working at Spring Paris that he discovers his true passion for market cuisine and local products – a culinary philosophy that would stay with him forever and inspires him to this day.  Chef Claesson, after a few years in London, at the head of a private gastronomic restaurant, leaves Europe for the beautiful city of Montreal.   Not ready to go home just yet? Head down to Velvet, a parallel universe in Auberge Saint-Gabriel's basement. Talk a walk down the long, candlelit stone hallway and step into the thick smoke surrounding the dance floor of Montréal's sultriest night club. Explore the wild cocktail list and discover top-notch DJs. At Velvet, there are no rules—it comes as a shock when it's time to leave at 3am.show more"
436,9,"$$ ($20 to $30), $$$ ($30 to $45)",,Located on the 1st floor is the festive space (which is reserved for 18 years and over) at Aurochs Steakhouse - Lounge is a place where the atmosphere invites intimacy and celebration. Impress your friends with the best cuts of meat and an incomparable atmosphere by reserving a semi-private space for your group.show more
437,16,"$ (less than $20), $$ ($20 to $30)",,It all starts in Paris & is tasted here.  The Café du Théâtre offers comforting dishes that will appeal to all fans of good cuisine and local products.show more
438,16,$$ ($20 to $30),,"There’s nothing quite like the aroma and taste of meat grilled to perfection over coals. At Casa Vinho, they broil meats, fish and seafood over charcoal; the smell will make your mouth water the minute the cooks start grilling your meal. All of the grilled dishes are Portuguese specialties made with spices typical of this magnificent European country.
A large part of the charm of this Rosemont resto is comfort. The décor is typically Portuguese and introduces patrons to the culture of this warm and colorful country. Whether you’re dining with friends, colleagues or family, the warm and courteous welcome you’ll receive at Casa Vinho will make your meal relaxing and rich dining experience. Portuguese music, featuring traditional Portuguese Fado singing, will nurture your soul and open your heart to Portuguese culture. What do the Magdalen Islands and Portugal have in common? Casa Vinho!
One of the owners of Casa Vinho is a native of the Magdalen Islands. Her Madelinot accent adds to the maritime flavor of Casa Vinho. The manner in which the seafood and fish are prepared is a blend of Portuguese and Magdalen Islands culinary traditions. A wine list is available featuring a range of wines to accompany charcoal-broiled dishes.show more"
439,21,$$ ($20 to $30),,"A bewitching Italian atmosphere, soothing aromas and diversified menus.  Whether you choose the fish, grilled meat or the prime rib (house specialty) our cuisine is authentic Italian, and is sure to satisfy your palate.

Do not hesitate to try our group menus for your office get-togethers or birthday parties.  The serene atmosphere of our restaurant will charm you.show more"
440,16,"$$$ ($30 to $45), $$$$ (over $45)",,"Led by Executive Chef and Co-owner Renato Ferrante along with the Ruvo family, Restaurant L'osso invites guests to experience the taste of refined Mediterranean cuisine in an inviting and warm setting.show more"
441,26,$$ ($20 to $30),,"Come and discover Silva Grillades, situated on St-Charles street in the heart of Vieux-Longueuil. We are a cozy yet trendy spot, that serves everything from fish and chicken to premium cuts of meat. Our platters are grilled and prepared with a little Portuguese flare.   Come and see us for your most special occasions ranging from a romantic dinner for two to a reception in our private dining room. For a little taste of Portugal on the South Shore, head on over to Silva Grillades.show more"
442,12,"$$ ($20 to $30), $$$ ($30 to $45)",,"The Hermitage Museum in Saint-Petersburg is world famous. Real gourmets also remember the Hermitage (Ermitage) restaurant in Moscow. It is there, at the end of the XIX century, that French chef Lucien Olivier invented his renowned Russian salad.  Ermitage restaurant in Montreal keeps both traditions: the artistic atmosphere of the Saint-Petersburg Museum and the refined cuisine of Moscow famous French restaurant.show more"
443,30,"$$ ($20 to $30), $$$ ($30 to $45)",,"« […] delicious and carefully prepared. »Jean-Philippe Tastet, Le Devoir « Something to make year-round lovers of the sea salivate »Iris Gagnon-Paradis, La PresseLocated in the heart of the Plateau Mont-Royal, the Joséphine restaurant offers original bistro cuisine that highlights fish and seafood.Inspired by his many travels, chef Vincent Desaulniers revisits with passion classic dishes combined with different flavors of the world.  On the plate, you will therefore find delicately crafted quality products intelligently enhanced with local ingredients.  The varied menu evolving with the creativity of the chef over the seasons will satisfy everyone!The meticulously crafted wine list features a wide selection of privately imported products and is constantly evolving.With its warm atmosphere and its modern decor bathed in greenery and natural light, this restaurant on rue St-Denis will become your favorite destination for your outings as a couple or with friends, both to enjoy a meal and for happy hour.show more"
444,30,$$ ($20 to $30),,Kampot Restaurant is a family business offering Boisbriand a taste of Southeast Asia. The idea of Kampot restaurant is rooted in our mother's cooking as her way of showing her love.show more
445,13,"$$$ ($30 to $45), $$$$ (over $45)",,"For more than 19 years, in the heart of downtown Trois-Rivières, the Grill restaurant has been welcoming you in its cozy atmosphere worthy of New York lounges.Le Grill is more than a Steakhouse, it is a combination of excellent beef, all aged to perfection, great wines and incomparable service.show more"
446,8,"$ (less than $20), $$ ($20 to $30)",,"Savor specialty coffees, teas, kombucha, juices, pastries, granolas, avocado toast, soups, sandwiches, and lunch salads for all tastes at our café in Downtown Montreal.  
Are you thinking of eating on the go? There’s nothing to worry about. All our menu was thoughtfully crafted to be grab and go! show more"
447,20,"$$ ($20 to $30), $$$ ($30 to $45)",,"Urban Bistro located in St-Hubert, La Belle and La Barbe offers a unique culinary experience. Our concept of platters will surely please you. Our wines selected by our sommelier and our cocktail menu will bring colors and flavors to your table.show more"
448,27,"$$$ ($30 to $45), $$$$ (over $45)",,"The concept of the restaurant is a bring your own wine and you will have the pleasure to enjoy a large dining room, a beautiful terrace and a private room that can accommodate more than 50 people.We work to make you live a great experience with us and it is thanks to a team of professionals of more than 30 people who work in the kitchen, the dining room and the direction and management of the company that we will strive every day.show more"
449,17,"$ (less than $20), $$ ($20 to $30)",,"Sésame offers a concept unique in its kind: an out of the ordinary variety of high quality Asian dishes to enjoy in a warm atmosphere.   From the Pad Thai to the General Tao poutine, or one of the various wok sautées, you can eat your meal on site or take it to go.  Additionally, Sésame offers a wide selection of loose teas, several privately imported wines, beers on tap, a wide selection of sake, but especially, a menu of exclusive Sésame cocktails.show more"
450,20,"$$ ($20 to $30), $$$ ($30 to $45)",,"Sophisticated Portuguese locale serving paellas & other seafood & meat dishes with imported wines. The restaurant has a cozy and inviting atmosphere, and the staff is friendly and attentive.show more"
451,32,"$$ ($20 to $30), $$$ ($30 to $45)",,"Located in Montreal's Little Italy, this neighborhood restaurant with creative and ever changing market menu, focused on local and responsible aged meats. Carefully curated natural wine list.show more"
452,10,"$$ ($20 to $30), $$$ ($30 to $45)",,"Central Kitchen offers its catering services throughout Greater Montreal.
We specialize in Peruvian cuisine, Nikkei, Chifa and others.
Contact us today to speak with one of our representatives to start planning your event.show more"
453,20,"$$ ($20 to $30), $$$ ($30 to $45)",,"Stella, these are two pizzerias in the image of their 100% Italian chef, a simple menu, pizzasdelicious, an enticing wine list, a charming and friendly atmosphere, a terrace for sunny days.show more"
454,12,$ (less than $20),,"Since 1986 Restaurant Boustan, has been serving up the exotic flavors of Lebanon in downtown Montreal. Satisfy your hunger by indulging in our carefully prepared dishes. Our mouth-watering chicken pita, our deliciously seasoned beef shawarma and kebabs or our wide array of vegetarian specials, which are all guaranteed to tantalize your senses.  Boustan offers you premium fast-food and a variety of delicious and healthy meals at reasonable prices where the friendly staff always welcomes you with a smile. If you can’t make it to us, let Boustan come to you, with our fast and efficient delivery service, straight to your home or office.  Lunch, supper or a late night craving… Come to Boustan and savour Montreal’s best Middle Eastern cuisine. Voted Best Middle-Eastern Restaurant in the Montreal Mirror in 2004, 2006, 2007, 2008, 2009, 2010, 2011 and 2012. Best Middle-Eastern and Late-Night Eats in the CultMTL Best of Montreal 2013, 2014 and 2015 editions.show more"
455,9,$$$ ($30 to $45),,"L'Aurochs serves you premium quality CAB certified beef cuts prepared with great care. Bavette, ribeye, T-bone, cowboy, they are all there.  Not only do the chefs use quality local products, but the methods of cooking and preserving them make all the difference.show more"
456,16,$$$ ($30 to $45),,"Satori sushi is a restaurant specializing in Japanese cuisine, located in Saint-Jean-sur-Richelieu (in the Saint-Luc district).  We are proud to offer our customers a high quality dining experience in a modern setting.show more"
457,8,"$ (less than $20), $$ ($20 to $30)",,Gerry's Restaurant Delicatessen is known for its tasty smoked meat and many other delicious dishes. Gerry's Restaurant in Montreal also serves breakfast at an affordable price.show more
458,27,"$ (less than $20), $$ ($20 to $30)",,"It is with great pride and pleasure that we welcome you to Guacamole y Tequila, a Mexican cuisine restaurant where at each visit, the authentic taste of Mexico is served!  At Guacamole y Tequila, you will enjoy discovering Mexico’s rich culinary diversity; handmade meals, typical ingredients, eccentric cocktails, in short, a taste that will remind you of your last vacation, all in a warm and friendly atmosphere with a ""Hecho in Mexico"" decor! We know that Mexico is a favorite holiday destination for Quebecers, but in our hearts, we want Guacamole y Tequila to become your dining destination in Magog!  Buen provencho! P. S. Mi casa es tu casashow more"
459,16,"$$$ ($30 to $45), $$$$ (over $45)",,"Welcome to Bonaparte restaurant! Imagine a stream of soft light focused on a single white orchid, set on a white tablecloth... Comfortable ambiance that invites you to settle in for the evening... Romantic little nooks for an intimate dinner... Contemporary décor within historic stone walls... And exquisite cuisine, prepared with French savoir-faire and showcasing the finest fresh regional products... At Bonaparte we are constantly trying our best to please you. After all it is all about the little details. Therefore we offer in additon to our À la Carte menu a Theater menu which is available during regular Centaur season from 5:30pm to 6:30pm and our Table d'Hôte. Gourmets in hurry can always count on us. If you desire to savour the chef's specialties, our Dégustation menu will seduce you.show more"
460,12,$ (less than $20),,"McLean's has become a landmark bar and restaurant in the downtown core of Montreal with its authentic Irish Pub atmosphere. McLean's a wide array of food dishes and a wide selection of imported and domestic beers. McLean's pub-style decor provides the perfect backdrop to enjoy all the latest sporting events on one of the many big screen satellite TV's positioned all around the bar. Upstairs, guests can partake in a friendly game of pool or darts or just sit back and enjoy the company of good friends.show more"
461,15,$$ ($20 to $30),,"The restaurant Khyber Pass proposes to you an unforgettable trip in Afghanistan. Typically decorated, this restaurant offers plentiful scented and aromatized traditional meals to you. The cook, a true Afghan mom, makes sure that the whole is never spiced too much! Dessert Entries, you will learn many things on the culture of Afghanistan because the waiters are in majority of Afghan origin. Even if Lamb is the specialty, the diversified menu has something to please you all.   Come and discover a different cuisine which will surely charm you and let you be transported in a country which only waits to be discovered for its richness!show more"
462,48,"$$ ($20 to $30), $$$ ($30 to $45)",,"San Antonio Grill & Pasta restaurant in Terrebonne invites you to taste one of our excellent steaks of AAA Prime Angus quality, which we are so famous for. Enjoy our delectable fresh pasta, offered with a wide variety of sauces prepared to charm all tastes. Furthermore, savor our superior cuts of quality meat, cooked to perfection. A meat lover's dream!show more"
463,12,"$ (less than $20), $$ ($20 to $30)",,"Trebbiano restaurant is located on St-Charles Street in the heart of Old Longueuil on the South Shore of Montreal. It takes its name from the famous white grape from Trebbiano city in the region of Campania, Italy, and is used in the manufacture of many Italian wines.  At Trebbiano, we offer you an excellent typical Italian cuisine, to the delight of the regulars of the place, who cannot stop praising the owner of this exquisite restaurant.  The extensive menu allows you to find authentic and tasty dishes to suit all tastes and appetites! You will find homemade specialties such as pasta, pizza, scallops, squid, rack of lamb and filet mignon, not to mention a list of alluring desserts.  You will also find gluten-free meals and a take-out service. Trebbiano is really the perfect place for a romantic dinner on the terrace!show more"
464,37,"$$ ($20 to $30), $$$ ($30 to $45)",,"Il Pazzesco has been noticed and appreciated by Montreal gourmets since it was founded in 1991 by brothers Michele and Mario Lapadula. Following the expansion and renovation in the winter of 2001, the restaurant is divided into two separate rooms, one of which has a dance floor. You can reserve either one of the rooms for more privacy, and the same attentive service.  In May 2002 the daily newspaper “La Presse” described Il Pazzesco as being a discovery in Anjou (découverte à Anjou.)   Hoping to see you soon!show more"
465,10,"$ (less than $20), $$ ($20 to $30)",,"Come and have fun in a relaxed atmosphere!The Randolph Pub Ludique Quartier Latin invites you to play a host of games, proposed and explained by our passionate entertainers. To make the experience more complete, our waiters and waitresses will come to see you to offer you something to eat and drink. Try our microbrewery beers, cocktails and potions while enjoying a variety of appetizers and dishes prepared by our experienced staff.show more"
466,28,$ (less than $20),,"With a passion for restaurants and more than 30 years of experience in the food industry, Papa Elie and his son Ziad were able to create a unique family business: ZEEZ.Ziad began his career at hospitality school and pursued a specialization in culinary arts at the Paul Bocuse Institute in France to later work in the most prestigious hotels and restaurants. Ziad is the creator of the ZEEZ menu and is responsible for quality assurance. Filled with energy and passion, you will always see him dedicated to providing the best customer service.Papa Elie is a master of management and organization with an entrepreneurial career spanning more than 40 years. A pillar of the company, he always ensures that everything is in order and that the shift runs smoothly. In fact, you'll probably see him working on his computer at a ZEEZ table.ZEEZ's mission is to create moments of pleasure through delicious burgers. Elie and Ziad's goal is not only to offer quality burgers using fresh, homemade ingredients, but also to make them accessible to Montrealers by offering affordable prices. 🧡So, what are you waiting for to come visit us?show more"
467,23,"$ (less than $20), $$ ($20 to $30)",,"Strategically located on Boulevard des Forges in the heart of Trois-Rivières' most beautiful shopping mall, LES RIVIÈRES, La Calebasse is dedicated to promoting African gastronomy in la belle province. Our sole objective is to bring the true flavors of the tropics to the heart of Trois-Rivières, in an exotic atmosphere that transports you to the heart of Africa.
La Calebasse offers a wide variety of traditional African menus. Most of them feature stews and grills (fish, chicken, lamb and beef), sauces (yassa, mafé, pondu, palm seed sauce) and various desserts such as dèguè (millet grain and yoghurt-based dessert), tapioca or homemade cakes. La Calebasse introduces for the first time a fusion cuisine that approaches African cuisine in a new way, opening up to the world without losing anything of tradition.show more"
468,16,$ (less than $20),,Restaurant Shifu is a quick-service Chinese restaurant specialized in traditional flavours served in a modern way.show more
469,9,"$$ ($20 to $30), $$$ ($30 to $45)",,"Steak Frites offers quality prepared dishes: distinctive cuts of meat that are tender and juicy, enhanced through our know-how to reveal all of their flavour.  In an unpretentious atmosphere, we provide a generous gourmet menu for you to enjoy alone, as a couple, or with family and friends.show more"
470,28,$$ ($20 to $30),,Great atmosphere | Serving delicious varieties of fusion cuisine & flavours from all around the world.show more
471,14,$$$ ($30 to $45),,"Newly installed in Saint-Hubert, the Marlow will distinguish itself by its quality cuisine and attentive service. It offers an updated modern bistro style cuisine...bring your wine. The restaurant aims to become a must in the area for its cuisine highlighting local seasonal products combining creativity and flavor. It offers a dining room of 50 places and 35 places in terrace. The Marlow will seduce you with its open kitchen and its chic and relaxed atmosphere. Its mission is to make you spend an unforgettable moment in good company.show more"
472,13,"$ (less than $20), $$ ($20 to $30)",,"Soba & Sushi Bar's menu offers a wide variety of dishes that are so delicious, they will make you go back for more!show more"
473,55,"$$ ($20 to $30), $$$ ($30 to $45)",,"Le Semaphore is a trendy bar and restaurant, located at the DoubleTree by Hilton Montreal Airport. With two separate levels of dining, the sophisticated menus offer seasonal cuisine that highlights many Quebec and local culinary products.  This West Island eatery is opened for lunch and dinner; catering to business professionals and travellers alike.  With a wide variety of wines, beers, signature cocktails, and sharing platters; it is ideal place to gather with your colleagues, friends and family.Savory breakfast options are also available everyday, including ""à la carte"", continental and complete buffet, with international specialities to appeal to diverse cultural palates.show more"
474,11,$ (less than $20),,"Welcome to the BreWskey Taproom, Montreal’s Old Port brewery!Just four years since the opening of BreWskey pub, the Taproom opened in 2019 as an expansion of the pub, in order to accommodate our ever growing clientele.  Above all, it is our passion for brewing that led us to create the new space: we can now brew our own products on site! It has been a true labour of love, and the result is Old Montreal’s newest hot spot – seating for 100 people, open plan kitchen and brewery running at full steam, and a large outdoor terrace facing the port itself.  It has quickly become a crucial destination spot in Old Montreal for lovers of top quality local beer and food. And that’s what you’ll find flowing from our 30 beer taps: local and regional products we are proud to offer.  Come and taste the best of Quebec at BreWskey Taproom in Old Montreal!show more"
475,24,"$$ ($20 to $30), $$$ ($30 to $45)",,"Discover our tapas culture and our Spanish products. OLÉ brings quality Vegetables, Legumes, Oils, Olives, Ibérico and Serrano Hams, Seafood and more to your table. The finest selection of gourmet authentic Spanish food and wine to your table.  We love food, we live by food and we love people. We are delighted to share with you our passion for the local and artisan food and wine products of Spain.  Come discover Spain with us at Olé.show more"
476,16,"$ (less than $20), $$ ($20 to $30)",,"Restaurant Phuket in the St-Leonard district of Montreal is not your usual Thai cuisine restaurant, this restaurant is a Fusion of Thai and Sushi and both cuisines are highly recommended. Authentic for their Thai with a unique blend of flavors, herbs and spices creating an interesting and delicious combination, and fresh and tasty for their Sushi which is now one of Phuket`s most popular choices.   A Thai meal pleases diners with an harmony of tastes - sweet, sour, hot, spicy and salty. In a meal, all five tastes should be present. A typical Thai meal consists of an appetizer or two - perhaps hot or cold spring rolls and a salad - be it of green mango, papaya or cold beef. Soup is the well-loved Thom yum goong or seafood with coconut milk, tinged with lemongrass. There's usually a curry dish - an emerald curry or a red curry, perhaps a whole fried fish, and noodles, all served with steamed rice. For dessert, look for the delicious fried ice cream topped with honey and chocolate syrup.   All this in a beautiful modern and traditional décor with a relaxing and cozy atmosphere that will please all of you couples, groups and families. Restaurant Phuket is a great choice for any occasion and for the ones who want to try all the different tastes of Thai cuisine and Sushi.show more"
477,14,$$$ ($30 to $45),,"Let me introduce myself. I am Chef Dany. After receiving my degree in Rome, Italy I worked in the best restaurants in Italy and Canada for over 15 years. I finally decided to open my own restaurant ""Trattoria Romantica"" in the heart of Sainte-Dorothée, Laval. Dear customers, I know how important you are so rest assured that my team and I will do our utmost to meet your expectations and transport you to the delightful world of fine Italian cuisine that is prepared with authentic products. We look forward to welcoming you in our Trattoria. Chef Dany and his team.show more"
478,24,"$ (less than $20), $$ ($20 to $30)",,"Two panoramic views that will take your breath away Panoramic views of the Old Port and St. Lawrence River on one side, amazing scenery from St. Paul Street on the other—the rooftop views from Terrasse sur l’Auberge paint a beautiful portrait of Montreal’s historic district.  From late June to early August the skyline ignites with an array of colour during the International Fireworks Competition.  There’s no better place to enjoy a prime view of these award-winning pyrotechnics.  It’s also the perfect observatory to admire the illumination of Jacques Cartier Bridge, every night, at sunset.show more"
479,35,"$ (less than $20), $$ ($20 to $30)",,"La Piazzetta is a reflection of the beautiful city of Granby by incorporating all of its wonderful facets.  The family side is there first and foremost through the attention given to children and through the family spirit that weaves together a tight team of employees.  Four endangered animals are also honored on the walls of the restaurant to remind the Granby Zoo of its dedication and passion for its precious residents.  In addition, a large green wall recalls the mission of the Lac Boivin nature interpretation centre.  Finally, the professionalism and good humor of the staff make the Piazzetta the ideal place to gather relatives and friends.
Did you know that the Piazzetta Granby gives back to the Granby Zoo?  Indeed, the restaurant collaborates with a local artist who has dedicated a complete collection to the zoo and donates 25% of its profits to the foundation of the latter. This artist is called Marie-Michèle Desmarais and specializes in charcoal drawing. Come and admire four of his works in the restaurant. If, like us, you fall in love with his designs, you can get them at www.lenidatelier.com.show more"
480,11,"$ (less than $20), $$ ($20 to $30)",,"Come and have fun in a relaxed atmosphere!The Randolph Pub Ludique Centropolis Laval invites you to play a lots of games, offered and explained by our passionate animators. To make the experience more complete, our waiters and waitresses will come to you to propose you to drink and to eat. Try our microbrewery beers, cocktails and potions while enjoying a variety of appetizers and dishes prepared by our experienced staff.show more"
481,15,"$ (less than $20), $$ ($20 to $30)",,"Come and try our excellent dishes at our restaurant bar. They serve good beers and the food menu is always interesting. Perfect for watching your favorite games.
In addition to the restaurant-bar, the center has 8 sensational attractions under one roof, multi-level electric karting, due laser tag, ax throwing, six bowling alleys, an interactive 7D cinema, a virtual reality experience and numerous arcades last generation. Rooms for your events, a lounge and much more.
This is what you will find at TAG RESTO-BAR!show more"
482,13,"$$$ ($30 to $45), $$$$ (over $45)",,"Located in the Philips Square district, a few steps from the Quartier des Spectacles and the Bell Center, Le Carré offers Mediterranean-influenced cuisine, inspired by local Quebec products, based on the quality of the products that compose it.
In a friendly yet refined atmosphere, Le Carré is ideal for a casual meal at the counter, a business lunch or a festive evening, all in a cozy-chic setting.show more"
483,44,$$$ ($30 to $45),,"Mikasa Sushi Bar & Yakiniku, located in the heart of Laval's Centropolis center, is ready to welcome you in an elegant, modern Japanese environment where our fine selection of food and drinks contribute to a wonderful lunch or dinner.
Mikasa also offers private rooms, one of their rooms is equipped with projectors and internet connection. Perfect for a conference.show more"
484,15,"$ (less than $20), $$ ($20 to $30)",,"Our goal: Deliver a “bang” experience for all customers! On the menu: a casual atmosphere, but mostly a variety of exceptional sushis available in store or at home with delivery. With 18 restaurants all over the province of Quebec, Sushi Taxi works in order to be always more connected to its clients and commits to grow in a sustainable way.show more"
485,26,"$$ ($20 to $30), $$$ ($30 to $45)",,"Inspired by Paris’s golden-era brasseries, Brasserie 701 welcomes you in a chic decor with its grandiose neo-classical architecture and a lively ambiance. The bustling brasserie serves French brasserie classics from breakfast through supper every day, with brunch served on weekends.show more"
487,24,"$$ ($20 to $30), $$$ ($30 to $45)",,"It is impossible to enter without noticing the various cuts of dry-aged meat on site. Very few restaurants in Quebec offer this, another detail taken into account in order to stand out from the competition.  Moreover, we offer more than fifteen different cuts... there is something for everyone.show more"
488,16,"$ (less than $20), $$ ($20 to $30)",,"With our 10 years of reputation in catering service and being among the best in the Montreal region, we are proud to announce the opening of our new restaurant.
We have worked to package our meals so that you can enjoy the quality of our dishes at home. We always love to welcome you in person, but even when that's not possible, we make sure your dining experience is top-notch.
We refuse to compromise on quality in our restaurant. That's why we source our fresh ingredients from local farmers' markets. No matter the season, you can be sure to taste the best of it.show more"
489,16,$ (less than $20),,"Located in a historic turn of the century stone mansion McKibbin's has quickly developed a reputation of being Montreal's eating and drinking emporium. Situated at 1426 Bishop Street, named after the McKibbin's from Ireland.show more"
490,26,$$ ($20 to $30),,"Boa vinda Chez Doval Since 1974 we offer our customers a unique place that characterizes the typically friendly and warm Portuguese atmosphere, a place that blends food and conviviality. Whether you are looking for a perfect quiet evening for a romantic tête à tête or a more warm and lively atmosphere, at Chez Doval you have a choice. Two very different rooms where you can discover unique tastes are ready to welcome you.show more"
491,28,$$ ($20 to $30),,"Since its opening in 2012, Saint quickly became this trendy funky place where colorful and flavorful sushi is served along with hip-hop music.  We are driven by a deep sense of community, respect and love towards everyone who comes to see us.
At Saint its good vibes only!show more"
492,26,"$ (less than $20), $$ ($20 to $30)",,"Restaurant Bharati is located on Notre Dame in Joliette. Enjoy the authenticity of true Indian cuisine! The menu offers delicious specialties such as butter chicken, spicy shrimp, naan bread and a variety of vegetarian dishes. In addition, the affordability of the menu gives you the opportunity to visit frequently, without breaking your budget.   Bring your friends and your family, they will be delighted with our selection!show more"
493,38,"$$ ($20 to $30), $$$ ($30 to $45)",,"Restaurant Rumi offers you a culinary experience of the Silk Road that once crossed Central Asia and the Middle East. A route that linked cities, oases and markets... great traditions, formidable kingdoms. The Silk Road was also the route of spices, generous in fragrance and flavor. We invite you to be inspired by the spirit of the travelers, merchants and pilgrims who, for centuries, exchanged goods, riches and important cultural elements.A spirit of discovery and openness.​ We aim to create a hospitable atmosphere conducive to meaningful encounters. A setting in which to take the time to restore oneself in the sense of regaining strength and meaning. As far as possible, our cuisine favors local, organic and sustainable agriculture. All the meat we serve is halal.​
We give priority to fresh, local produce.show more"
494,23,"$$ ($20 to $30), $$$ ($30 to $45)",,"Sushi, Japanese grills & over 25 sakes!
Located in Old Montreal under the magnificent Hôtel Place d'Armes, the Kyo takes us on a journey into a relaxed but lively atmosphere that reminds us of the conviviality of Japanese culinary traditions. Our menu is a mix of must-haves and house creations that will surprise you, cooked with fresh and locally sourced ingredients.show more"
